3,6
3,6.5
4,7
5,7.5
5,8
4,8.5
3,9
2,9.5
1,10
1,10.5
2,11
3,11.5
3,12
2,12.75
2,13
3,14
3,14.5
4,15
5,15.5
5,16
4,16.5
3,17
2,17.5
1,18
1,18.5
2,19
3,19.5
2,20
1,20.75
1,21
2,22
2,22.5
3,23
1,23.5
2,24
3,24.5
4,24.75
3,25
1,25.5
2,26
3,26.5
4,26.75
3,27
2,27.5
1,28
2,28.5
5,29
3,30
3,30.5
4,31
5,31.5
5,32
4,32.5
3,33
2,33.5
1,34
1,34.5
2,35
3,35.5
3,36
2,36.75
2,37
3,38
3,38.5
4,39
5,39.5
5,40
4,40.5
3,41
2,41.5
1,42
1,42.5
2,43
3,43.5
2,44
1,44.75
1,45
